	Rank	State	Highest elevation	Lowest elevation	Average elevation
0	1	Colorado	14,440 	3,315 	6,800 
1	2	Wyoming	13,804 	3,099 	6,700 
2	3	Utah	13,528 	2,000 	6,100 
3	4	New Mexico	13,161 	2,842 	5,700 
4	5	Nevada	13,140 	479 	5,500 
5	6	Idaho	12,662 	710 	5,000 
6	7	Arizona	12,633 	70 	4,100 
7	8	Montana	12,799 	1,800 	3,400 
8	9	Oregon	11,239 	0 	3,300 
9	10	Hawaii	13,796 	0 	3,030 
10	11	California	14,494 	-282 	2,900 
11	12	Nebraska	5,424 	840 	2,600 
12	13	South Dakota	7,242 	966 	2,200 
13	14	Kansas	4,039 	679 	2,000 
14	15	Alaska	20,320 	0 	1,900 
15	16	North Dakota	3,506 	750 	1,900 
16	17	Washington	14,410 	0 	1,700 
17	18	Texas	8,749 	0 	1,700 
18	19	West Virginia	4,863 	240 	1,500 
19	20	Oklahoma	4,973 	289 	1,300 
20	21	Minnesota	2,301 	602 	1,200 
21	22	Pennsylvania	3,213 	0 	1,100 
22	23	Iowa	1,670 	480 	1,100 
23	24	Wisconsin	1,951 	581 	1,050 
24	25	New Hampshire	6,288 	0 	1,000 
25	26	New York	5,344 	0 	1,000 
26	27	Vermont	4,393 	95 	1,000 
27	28	Virginia	5,729 	0 	950 
28	29	Tennessee	6,643 	178 	900 
29	30	Michigan	1,979 	572 	900 
30	31	Ohio	1,549 	455 	850 
31	32	Missouri	1,772 	230 	800 
32	33	Kentucky	4,139 	257 	750 
33	34	North Carolina	6,684 	0 	700 
34	35	Indiana	1,257 	320 	700 
35	36	Arkansas	2,753 	55 	650 
36	37	Maine	5,276 	0 	600 
37	38	Georgia	4,784 	0 	600 
38	39	Illinois	1,235 	279 	600 
39	40	Massachusetts	3,487 	0 	500 
40	41	Alabama	2,407 	0 	500 
41	42	Connecticut	2,380 	0 	500 
42	43	South Carolina	3,560 	0 	350 
43	44	Maryland	3,360 	0 	350 
44	45	Mississippi	806 	0 	300 
45	46	New Jersey	1,803 	0 	250 
46	47	Rhode Island	812 	0 	200 
47	48	Louisiana	535 	-8 	100 
48	49	Florida	345 	0 	100 
49	50	Delaware	450 	0 	60 
